region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
Central,2015,45-64,Female,Group C,36782,74.36,31075,84.48
South,2019,0-14,Female,Group B,11371,87.23,18640,163.93
North,2013,0-14,Female,Group C,14036,82.78,16028,114.19
West,2022,15-24,Female,Group C,23597,75.34,31098,131.79
West,2021,45-64,Female,Group A,675,57.14,15627,2315.11
West,2011,15-24,Female,Group B,3717,86.9,29841,802.82
Central,2022,25-44,Female,Group D,15606,70.62,22369,143.34
North,2019,0-14,Male,Group C,30859,64.65,34415,111.52
Central,2018,25-44,Female,Group D,46964,95.78,2151,4.58
Central,2019,65+,Female,Group A,22857,88.26,22154,96.92
North,2024,0-14,Male,Group B,42854,96.38,14027,32.73
North,2016,25-44,Male,Group A,39070,66.02,9165,23.46
North,2013,65+,Male,Group A,7534,90.94,33296,441.94
North,2012,25-44,Female,Group D,16763,81.13,9185,54.79
West,2019,65+,Female,Group D,42680,97.2,32841,76.95
East,2023,65+,Female,Group C,9276,95.69,23097,249.0
East,2024,0-14,Female,Group B,44322,96.84,6173,13.93
North,2012,15-24,Male,Group A,10312,95.93,17994,174.5
East,2018,65+,Female,Group C,20239,55.33,7914,39.1
East,2014,65+,Female,Group C,27425,86.87,1337,4.88
North,2022,0-14,Male,Group A,20075,66.69,37440,186.5
East,2024,15-24,Female,Group A,22731,85.32,36242,159.44
Central,2012,45-64,Female,Group C,11899,97.17,3473,29.19
South,2024,45-64,Female,Group A,48231,56.69,22827,47.33
South,2014,15-24,Female,Group A,23600,79.38,32393,137.26
North,2011,25-44,Male,Group D,11268,86.6,15351,136.24
West,2020,0-14,Male,Group B,33799,65.89,10355,30.64
North,2013,15-24,Male,Group C,11857,64.68,26941,227.22
West,2019,45-64,Male,Group A,1937,57.59,23148,1195.04
South,2011,65+,Female,Group C,25446,59.04,38330,150.63
North,2011,45-64,Female,Group B,21388,83.24,4836,22.61
Central,2021,65+,Female,Group C,6002,76.72,38314,638.35
East,2017,0-14,Male,Group C,40876,56.29,31849,77.92
West,2010,65+,Male,Group C,6066,96.7,37176,612.86
East,2023,15-24,Male,Group D,42076,83.21,37436,88.97
East,2016,65+,Female,Group B,4514,77.17,2546,56.4
North,2014,25-44,Female,Group B,14113,66.73,14184,100.5
East,2024,15-24,Male,Group C,40667,83.3,1242,3.05
Central,2020,0-14,Male,Group C,34199,70.66,13263,38.78
East,2017,15-24,Female,Group B,35733,85.21,20690,57.9
North,2010,25-44,Female,Group A,48891,84.35,36699,75.06
Central,2020,0-14,Female,Group D,22314,58.99,7502,33.62
South,2016,45-64,Male,Group B,23886,94.1,22076,92.42
East,2014,25-44,Male,Group C,47276,75.94,16494,34.89
North,2013,0-14,Male,Group A,42085,71.9,2502,5.95
South,2016,65+,Male,Group A,39256,96.08,19217,48.95
South,2019,15-24,Female,Group A,8009,73.84,561,7.0
West,2024,0-14,Female,Group D,22816,86.01,38461,168.57
Central,2011,15-24,Female,Group D,46117,83.17,17371,37.67
East,2021,65+,Male,Group B,11571,62.1,29527,255.18
North,2024,0-14,Female,Group B,28242,97.62,5292,18.74
West,2010,45-64,Female,Group B,47349,74.93,17137,36.19
Central,2010,25-44,Female,Group B,13728,71.98,14017,102.11
West,2020,0-14,Female,Group C,12114,94.54,9979,82.38
Central,2021,65+,Female,Group D,10801,77.76,4716,43.66
Central,2010,0-14,Male,Group A,36049,85.32,39419,109.35
East,2024,15-24,Female,Group C,43351,91.39,30314,69.93
Central,2021,0-14,Female,Group B,11874,65.13,14730,124.05
West,2014,45-64,Male,Group B,34907,62.29,9510,27.24
Central,2019,0-14,Male,Group C,47106,57.95,34481,73.2
East,2016,25-44,Female,Group A,42241,93.58,24009,56.84
East,2011,0-14,Female,Group D,14482,63.62,21935,151.46
West,2019,15-24,Female,Group D,31758,68.23,6949,21.88
South,2017,0-14,Female,Group A,46152,67.29,27837,60.32
South,2013,45-64,Male,Group D,10748,68.1,7205,67.04
Central,2021,65+,Female,Group B,11015,83.73,30098,273.25
North,2012,0-14,Male,Group B,35542,96.03,23738,66.79
Central,2019,0-14,Female,Group B,27309,69.17,37406,136.97
West,2020,25-44,Female,Group B,11330,72.53,21908,193.36
West,2017,45-64,Female,Group A,35748,88.16,25667,71.8
West,2011,65+,Male,Group D,7299,73.59,14612,200.19
West,2020,15-24,Female,Group D,9047,94.82,29578,326.94
West,2020,0-14,Female,Group C,32062,76.64,28302,88.27
East,2022,65+,Male,Group A,14828,69.95,13244,89.32
South,2012,15-24,Female,Group D,13179,96.78,31509,239.08
West,2021,45-64,Male,Group D,21558,73.31,18439,85.53
North,2012,45-64,Female,Group C,32737,64.94,2635,8.05
North,2019,65+,Male,Group B,47196,62.64,23364,49.5
North,2020,15-24,Male,Group D,20406,97.79,36066,176.74
North,2010,45-64,Male,Group B,43927,87.38,3586,8.16
East,2015,65+,Female,Group C,39372,72.57,5640,14.32
North,2011,45-64,Male,Group D,17047,90.53,6636,38.93
West,2010,45-64,Male,Group B,23806,78.51,7603,31.94
Central,2011,45-64,Female,Group A,28710,68.65,23442,81.65
North,2021,25-44,Male,Group B,46193,86.97,3139,6.8
East,2015,15-24,Female,Group B,28739,87.07,17422,60.62
East,2023,65+,Female,Group B,28330,76.51,27477,96.99
North,2013,65+,Male,Group B,3881,56.94,21343,549.94
Central,2015,15-24,Male,Group A,35332,58.31,3338,9.45
North,2021,15-24,Female,Group C,39857,88.92,21189,53.16
East,2018,15-24,Male,Group B,29341,90.41,3362,11.46
South,2022,15-24,Male,Group B,7947,84.17,2952,37.15
West,2019,0-14,Male,Group D,20868,91.08,25965,124.42
East,2021,65+,Male,Group D,20771,85.94,1037,4.99
North,2019,0-14,Female,Group A,839,93.57,28674,3417.64
West,2017,45-64,Female,Group A,20474,61.47,12243,59.8
North,2010,45-64,Male,Group A,27009,71.67,35701,132.18
North,2022,65+,Female,Group D,38398,74.96,24272,63.21
South,2017,45-64,Male,Group B,26721,67.8,38174,142.86
West,2018,15-24,Male,Group D,27763,86.19,2853,10.28
West,2015,0-14,Male,Group C,8233,94.23,22724,276.01
South,2019,15-24,Male,Group A,46378,72.74,19933,42.98
East,2024,45-64,Female,Group A,5549,95.49,36278,653.78
North,2014,0-14,Male,Group A,43586,77.22,37648,86.38
Central,2015,15-24,Female,Group C,45901,77.47,18970,41.33
North,2022,65+,Male,Group B,21588,80.81,38159,176.76
North,2015,15-24,Female,Group B,16108,66.54,37643,233.69
East,2018,45-64,Female,Group B,1138,71.48,13004,1142.71
North,2013,0-14,Female,Group A,8209,78.79,16410,199.9
South,2011,65+,Female,Group B,5643,95.51,34229,606.57
South,2020,0-14,Male,Group D,1724,82.64,7833,454.35
West,2020,65+,Female,Group A,47734,69.32,8512,17.83
Central,2018,0-14,Male,Group C,48547,55.45,38500,79.3
North,2011,45-64,Female,Group C,45370,97.21,20429,45.03
North,2019,65+,Female,Group B,37513,76.2,3084,8.22
East,2018,25-44,Female,Group A,10241,95.36,20722,202.34
South,2011,0-14,Male,Group D,23491,78.62,5823,24.79
Central,2021,0-14,Female,Group D,40675,81.03,11660,28.67
West,2017,15-24,Male,Group A,26581,85.61,10434,39.25
South,2018,65+,Male,Group B,48058,68.8,18703,38.92
West,2021,25-44,Male,Group C,16142,85.06,24300,150.54
East,2019,45-64,Female,Group C,10067,77.65,17074,169.6
East,2018,15-24,Female,Group D,42127,83.92,29620,70.31
North,2019,25-44,Female,Group D,39036,90.94,36013,92.26
Central,2018,65+,Female,Group D,17899,62.92,582,3.25
West,2011,25-44,Female,Group C,33603,81.38,38553,114.73
South,2013,0-14,Female,Group D,46221,57.24,9569,20.7
East,2016,0-14,Female,Group C,15830,59.39,35185,222.27
North,2021,15-24,Male,Group C,16964,84.01,23861,140.66
North,2011,65+,Female,Group B,2634,58.05,850,32.27
West,2010,65+,Male,Group B,49909,80.6,21499,43.08
East,2012,25-44,Male,Group B,30162,64.46,27062,89.72
Central,2021,15-24,Female,Group D,684,68.08,31353,4583.77
East,2013,65+,Female,Group C,30887,60.57,16512,53.46
West,2017,0-14,Male,Group D,49774,65.69,11143,22.39
West,2015,25-44,Male,Group C,41324,90.32,3398,8.22
East,2020,45-64,Female,Group B,7763,82.47,17525,225.75
West,2011,0-14,Male,Group B,13691,95.84,8932,65.24
East,2024,15-24,Male,Group D,4014,57.1,6005,149.6
South,2018,65+,Male,Group C,33234,89.07,19113,57.51
East,2023,0-14,Male,Group D,6577,85.06,1402,21.32
East,2011,45-64,Female,Group A,35620,66.22,17234,48.38
West,2022,45-64,Female,Group D,48984,86.35,3206,6.54
West,2024,15-24,Male,Group B,10000,85.81,8705,87.05
North,2021,0-14,Male,Group C,15492,74.75,20698,133.6
North,2014,25-44,Male,Group C,10633,84.61,16705,157.11
South,2021,0-14,Female,Group D,6905,74.12,6803,98.52
North,2013,45-64,Female,Group B,30769,69.43,24944,81.07
East,2022,15-24,Male,Group A,17374,75.06,3882,22.34
West,2016,15-24,Male,Group D,31957,93.49,13660,42.74
North,2017,25-44,Male,Group C,17585,71.54,13759,78.24
North,2014,15-24,Female,Group B,36202,72.36,28744,79.4
South,2019,15-24,Male,Group C,14847,81.16,7064,47.58
South,2023,15-24,Male,Group C,14002,87.38,23978,171.25
East,2023,15-24,Male,Group C,46979,86.59,14434,30.72
West,2014,15-24,Male,Group C,14348,55.85,28793,200.68
South,2011,45-64,Male,Group A,22921,84.56,1929,8.42
North,2017,0-14,Female,Group B,14926,74.37,22536,150.98
West,2023,65+,Female,Group D,5195,77.54,35136,676.34
West,2011,15-24,Female,Group B,49471,79.15,12613,25.5
North,2019,65+,Male,Group B,16360,86.46,29964,183.15
South,2021,65+,Female,Group B,47365,90.75,7868,16.61
North,2015,45-64,Male,Group D,47904,82.79,13460,28.1
West,2017,15-24,Female,Group B,26210,79.25,11508,43.91
Central,2015,65+,Female,Group D,25911,71.07,9096,35.1
Central,2013,15-24,Male,Group D,9343,60.93,39608,423.93
East,2022,25-44,Male,Group A,31652,96.22,19483,61.55
North,2013,25-44,Male,Group C,16073,74.86,19791,123.13
North,2015,25-44,Female,Group D,38834,79.35,25482,65.62
East,2023,65+,Male,Group C,31237,87.3,14119,45.2
East,2024,25-44,Female,Group B,39267,57.94,7874,20.05
East,2022,45-64,Female,Group C,28756,91.77,30899,107.45
West,2013,45-64,Female,Group C,37134,89.27,31040,83.59
North,2017,65+,Male,Group C,42205,88.3,18592,44.05
West,2018,15-24,Male,Group B,2502,55.95,32160,1285.37
East,2010,0-14,Male,Group B,17123,77.64,4921,28.74
North,2022,15-24,Female,Group D,42315,57.33,29397,69.47
West,2013,15-24,Female,Group D,49193,78.69,26373,53.61
West,2013,15-24,Male,Group A,22751,85.89,1266,5.56
East,2011,15-24,Female,Group B,13207,60.24,27575,208.79
North,2015,0-14,Female,Group A,24617,84.88,2118,8.6
East,2012,25-44,Female,Group B,23243,74.33,9657,41.55
North,2016,15-24,Male,Group C,11290,89.9,10926,96.78
Central,2022,45-64,Female,Group A,48569,77.94,14482,29.82
South,2020,65+,Female,Group A,33120,69.45,25015,75.53
South,2020,65+,Male,Group A,16096,69.28,22794,141.61
South,2014,45-64,Male,Group B,30839,93.59,7648,24.8
East,2013,15-24,Male,Group D,34621,74.47,1342,3.88
Central,2014,0-14,Male,Group A,43495,72.45,20432,46.98
North,2017,25-44,Male,Group D,49096,56.71,1615,3.29
West,2012,65+,Male,Group B,41946,70.67,6574,15.67
North,2023,25-44,Female,Group A,46178,91.53,27174,58.85
West,2016,0-14,Female,Group B,21198,87.72,33728,159.11
North,2024,65+,Female,Group D,40132,64.5,3842,9.57
Central,2023,25-44,Female,Group D,15216,72.76,18136,119.19
West,2015,0-14,Male,Group A,31306,63.45,32114,102.58
East,2021,25-44,Female,Group D,18368,96.03,9547,51.98
North,2010,15-24,Male,Group C,48418,80.72,25132,51.91
North,2022,0-14,Male,Group C,31630,87.44,23793,75.22
West,2016,25-44,Female,Group A,6625,85.69,1528,23.06
East,2023,15-24,Female,Group B,42472,92.57,18960,44.64
East,2022,15-24,Male,Group B,35615,95.82,19825,55.66
Central,2016,0-14,Male,Group B,48011,56.4,26767,55.75
East,2023,45-64,Male,Group C,36976,96.94,12263,33.16
East,2024,65+,Male,Group D,29546,92.43,31830,107.73
East,2021,0-14,Female,Group C,23260,71.47,27161,116.77
South,2010,15-24,Male,Group D,10614,90.99,3340,31.47
Central,2018,15-24,Female,Group C,1137,86.67,17465,1536.06
North,2015,0-14,Male,Group B,39134,89.1,8930,22.82
West,2024,45-64,Male,Group B,23677,64.49,14257,60.21
North,2021,65+,Male,Group B,36276,82.89,3757,10.36
Central,2011,25-44,Female,Group A,24100,56.11,29314,121.63
West,2014,0-14,Male,Group A,16751,91.47,13411,80.06
Central,2022,65+,Female,Group D,27309,95.89,18780,68.77
East,2020,65+,Female,Group A,24256,83.47,18534,76.41
West,2013,15-24,Female,Group C,38868,77.04,10002,25.73
East,2016,25-44,Male,Group C,12149,86.21,22521,185.37
North,2017,0-14,Female,Group D,11866,69.03,36131,304.49
North,2020,15-24,Female,Group D,12380,81.93,37431,302.35
West,2023,15-24,Male,Group B,18283,85.92,4207,23.01
West,2024,45-64,Male,Group A,22726,61.14,4875,21.45
Central,2020,65+,Female,Group B,41709,61.02,14258,34.18
Central,2010,0-14,Female,Group A,5820,85.79,37719,648.09
East,2014,0-14,Male,Group A,9227,73.57,6419,69.57
West,2024,0-14,Female,Group D,12224,93.24,15645,127.99
North,2012,15-24,Female,Group B,39711,68.41,8618,21.7
Central,2010,45-64,Female,Group B,20433,56.82,24114,118.01
Central,2021,25-44,Male,Group A,13894,82.94,29830,214.7
North,2012,15-24,Female,Group A,40220,84.42,28895,71.84
Central,2023,25-44,Male,Group D,41917,78.8,30634,73.08
East,2015,45-64,Male,Group C,19622,84.38,14656,74.69
West,2023,65+,Male,Group B,36637,77.52,30385,82.94
North,2016,0-14,Female,Group B,31937,84.78,24356,76.26
West,2017,25-44,Male,Group D,21019,56.89,2278,10.84
Central,2022,15-24,Female,Group D,8483,70.84,30550,360.13
Central,2020,25-44,Male,Group B,45156,64.07,12273,27.18
North,2013,65+,Female,Group B,6135,59.27,23978,390.84
East,2012,0-14,Female,Group A,37337,65.07,23597,63.2
South,2014,25-44,Female,Group C,39519,63.23,3521,8.91
North,2018,65+,Male,Group B,44847,96.84,12537,27.96
South,2022,15-24,Female,Group D,20122,67.32,6211,30.87
South,2015,45-64,Female,Group A,39005,64.93,10196,26.14
East,2024,15-24,Male,Group A,9939,90.9,34698,349.11
South,2018,0-14,Male,Group D,28409,73.02,20246,71.27
South,2024,15-24,Female,Group D,35841,73.12,21694,60.53
East,2015,15-24,Male,Group A,33393,74.07,6818,20.42
South,2011,15-24,Male,Group D,42689,72.91,7099,16.63
South,2022,15-24,Male,Group A,11903,69.04,31522,264.82
South,2014,0-14,Female,Group D,34574,67.31,33997,98.33
North,2021,65+,Male,Group A,35369,92.92,15328,43.34
North,2020,25-44,Female,Group B,47949,61.95,33379,69.61
North,2018,45-64,Male,Group B,33403,62.79,2181,6.53
East,2017,25-44,Male,Group D,27453,79.58,34273,124.84
Central,2016,25-44,Female,Group C,7811,69.78,12678,162.31
South,2010,45-64,Male,Group B,32525,73.13,26629,81.87
South,2013,0-14,Male,Group A,21115,89.68,37563,177.9
East,2021,45-64,Male,Group C,34080,93.86,11897,34.91
South,2016,0-14,Male,Group A,26820,88.99,15622,58.25
North,2020,25-44,Female,Group A,43398,65.1,38580,88.9
Central,2016,0-14,Female,Group B,24452,97.14,30541,124.9
West,2024,65+,Female,Group D,17754,70.62,2237,12.6
South,2015,45-64,Female,Group D,15727,62.27,9722,61.82
North,2017,65+,Female,Group A,14260,76.48,21459,150.48
West,2020,25-44,Female,Group B,9326,86.19,12198,130.8
Central,2022,45-64,Female,Group A,14439,58.58,7286,50.46
West,2015,25-44,Male,Group C,33936,82.27,1349,3.98
North,2019,65+,Female,Group A,18177,91.9,22992,126.49
West,2012,25-44,Female,Group B,8960,66.26,16590,185.16
East,2013,45-64,Female,Group A,9173,84.8,34404,375.06
West,2023,45-64,Male,Group B,28366,72.2,36218,127.68
South,2012,25-44,Female,Group D,36658,72.81,28315,77.24
South,2010,45-64,Female,Group B,9953,67.08,24247,243.61
East,2024,45-64,Female,Group C,16404,81.85,17278,105.33
North,2019,25-44,Male,Group B,15896,70.52,21671,136.33
South,2014,65+,Female,Group C,28870,90.73,14463,50.1
Central,2024,45-64,Male,Group C,22433,96.4,5043,22.48
South,2010,45-64,Male,Group A,30849,95.21,12633,40.95
South,2010,45-64,Male,Group C,4834,62.01,11759,243.26
North,2011,45-64,Male,Group B,31960,55.61,5152,16.12
West,2022,25-44,Female,Group D,27768,73.85,32993,118.82
South,2013,65+,Male,Group B,22568,86.34,21131,93.63
East,2015,65+,Male,Group D,28747,97.03,2353,8.19
West,2017,0-14,Female,Group C,23634,88.69,29111,123.17
Central,2022,45-64,Male,Group A,16785,79.96,8219,48.97
North,2012,45-64,Male,Group C,35503,56.13,20073,56.54
Central,2010,0-14,Male,Group C,21867,90.5,31831,145.57
West,2012,65+,Male,Group D,24636,62.62,38129,154.77
West,2021,15-24,Male,Group B,38287,57.39,17228,45.0
West,2012,15-24,Male,Group A,24925,91.57,34820,139.7
Central,2014,65+,Female,Group A,29965,79.35,10823,36.12
West,2020,45-64,Female,Group A,19461,60.53,20168,103.63
Central,2021,15-24,Female,Group A,33943,71.62,4009,11.81
West,2021,25-44,Female,Group B,19323,58.68,34279,177.4
East,2013,25-44,Male,Group A,10373,82.43,27571,265.8
West,2022,0-14,Male,Group D,6087,67.14,39206,644.09
Central,2013,65+,Male,Group D,39213,92.24,31939,81.45
South,2018,65+,Female,Group A,26352,70.39,7988,30.31
West,2016,15-24,Female,Group A,38035,76.27,7177,18.87
South,2013,45-64,Male,Group B,7504,57.73,39377,524.75
East,2012,65+,Male,Group B,40996,66.85,35038,85.47
North,2015,15-24,Female,Group A,28323,84.1,2856,10.08
East,2012,15-24,Female,Group B,39877,86.66,4334,10.87
West,2015,65+,Female,Group C,7631,65.44,29631,388.3
South,2020,15-24,Female,Group A,18196,76.66,3684,20.25
South,2022,0-14,Male,Group B,26149,90.15,39116,149.59
Central,2020,0-14,Female,Group D,4599,71.34,27474,597.39
South,2022,65+,Female,Group A,32071,60.75,20893,65.15
Central,2022,45-64,Male,Group A,31080,73.57,38759,124.71
North,2021,0-14,Male,Group D,49127,80.83,17503,35.63
West,2018,0-14,Male,Group D,29164,55.32,19794,67.87
Central,2015,65+,Female,Group B,16082,69.99,19303,120.03
North,2021,25-44,Female,Group D,26969,81.12,12058,44.71
South,2013,15-24,Female,Group C,22902,95.93,15202,66.38
South,2024,0-14,Female,Group A,24736,72.57,5095,20.6
North,2014,25-44,Male,Group C,25610,62.01,25351,98.99
South,2022,45-64,Male,Group B,23930,77.97,10119,42.29
North,2015,25-44,Female,Group D,44907,67.29,22127,49.27
Central,2020,65+,Female,Group A,38448,64.24,28347,73.73
Central,2012,45-64,Female,Group D,18263,80.39,12578,68.87
North,2017,45-64,Male,Group D,49460,94.38,36693,74.19
Central,2013,25-44,Female,Group B,17529,90.91,21745,124.05
Central,2017,65+,Male,Group B,38680,62.84,13257,34.27
Central,2019,0-14,Female,Group B,5152,87.93,1560,30.28
East,2019,25-44,Male,Group B,7334,64.88,2248,30.65
West,2012,0-14,Male,Group A,37719,67.5,39220,103.98
South,2019,25-44,Female,Group C,22987,94.56,22682,98.67
East,2016,0-14,Male,Group C,7584,94.18,25863,341.02
Central,2020,25-44,Male,Group A,46130,62.25,33173,71.91
North,2022,45-64,Female,Group D,15192,57.76,15385,101.27
Central,2021,15-24,Male,Group A,3155,67.6,19899,630.71
West,2018,45-64,Female,Group C,40701,80.02,18261,44.87
Central,2013,0-14,Male,Group C,34582,92.71,11679,33.77
North,2017,65+,Male,Group A,48170,60.11,11092,23.03
West,2012,45-64,Male,Group B,5772,72.84,24131,418.07
Central,2016,15-24,Male,Group D,718,66.69,34839,4852.23
West,2012,0-14,Female,Group A,31392,55.64,24854,79.17
South,2021,45-64,Female,Group C,37971,88.9,23142,60.95
South,2024,25-44,Female,Group B,49262,89.97,7134,14.48
Central,2024,65+,Male,Group D,22015,64.51,29933,135.97
West,2016,0-14,Male,Group C,34807,61.5,19812,56.92
North,2023,45-64,Female,Group D,13645,61.22,35303,258.72
Central,2020,0-14,Female,Group B,18486,74.95,32055,173.4
South,2019,25-44,Female,Group C,19588,65.6,34693,177.11
South,2019,15-24,Female,Group B,5564,76.99,9506,170.85
Central,2020,45-64,Male,Group A,47056,71.55,38953,82.78
West,2020,0-14,Female,Group A,22696,64.07,16744,73.78
South,2015,0-14,Male,Group D,12103,87.3,1625,13.43
West,2011,0-14,Female,Group B,2988,61.47,1933,64.69
South,2020,15-24,Male,Group B,25692,89.35,10803,42.05
South,2012,0-14,Female,Group D,29397,79.14,12352,42.02
East,2015,65+,Female,Group D,19302,90.78,16001,82.9
South,2023,65+,Male,Group D,16911,55.2,19106,112.98
North,2013,0-14,Male,Group A,30166,87.22,29637,98.25
Central,2015,65+,Female,Group D,41475,57.22,17185,41.43
Central,2010,45-64,Male,Group A,13270,95.85,27135,204.48
West,2019,65+,Female,Group D,8477,85.22,21268,250.89
South,2021,0-14,Male,Group B,37929,68.77,13731,36.2
North,2010,25-44,Female,Group B,32531,68.75,34488,106.02
West,2012,45-64,Female,Group D,5049,92.04,35358,700.3
East,2017,15-24,Female,Group D,20837,93.82,25681,123.25
West,2017,0-14,Female,Group A,27865,93.34,26426,94.84
West,2020,15-24,Female,Group C,21145,89.78,1317,6.23
South,2013,25-44,Female,Group A,48297,90.22,32861,68.04
East,2015,15-24,Female,Group B,25007,79.63,12659,50.62
West,2024,0-14,Female,Group D,5473,56.21,21305,389.27
North,2017,0-14,Male,Group B,8936,58.73,39109,437.66
North,2016,25-44,Male,Group C,10586,82.93,19664,185.75
Central,2020,0-14,Male,Group A,18240,72.25,32754,179.57
East,2016,25-44,Female,Group B,26018,79.39,4977,19.13
East,2022,25-44,Female,Group A,20351,64.94,11632,57.16
Central,2013,0-14,Female,Group D,40232,82.92,14471,35.97
West,2018,65+,Male,Group B,15342,65.44,4001,26.08
East,2021,25-44,Male,Group C,30454,74.81,7257,23.83
North,2019,0-14,Male,Group A,2245,75.58,26711,1189.8
North,2015,65+,Male,Group A,13197,62.64,7710,58.42
South,2023,25-44,Male,Group C,27433,92.68,8299,30.25
East,2021,65+,Female,Group B,4379,77.61,15393,351.52
West,2020,45-64,Male,Group B,20661,92.27,20211,97.82
Central,2012,45-64,Female,Group A,18999,66.29,20964,110.34
Central,2014,65+,Female,Group C,23141,62.41,4650,20.09
West,2014,25-44,Female,Group A,35535,55.77,14749,41.51
South,2023,0-14,Male,Group A,19151,59.04,7160,37.39
Central,2014,15-24,Male,Group D,10188,61.34,16783,164.73
East,2017,0-14,Female,Group B,48333,58.39,7196,14.89
South,2018,15-24,Male,Group B,11488,93.57,18767,163.36
East,2022,15-24,Male,Group D,23970,94.19,14401,60.08
North,2018,25-44,Female,Group B,37749,95.31,5243,13.89
South,2022,65+,Female,Group B,24349,96.27,20620,84.69
Central,2015,0-14,Female,Group B,34197,76.15,34820,101.82
South,2015,65+,Female,Group C,8273,77.79,12829,155.07
